Zeit von [CET/CEST];Zeit bis [CET/CEST];Preis Erstveröffentlichung [EUR/MWh];Preis 15 min [EUR/MWh];Preis final [EUR/MWh],,,
02.01.2023 22:00:00;02.01.2023 22:15:00;150,20;151,33;150,11
02.01.2023 22:15:00;02.01.2023 22:30:00;142,15;141,55;141,54
02.01.2023 22:30:00;02.01.2023 22:45:00;147,02;147,93;148,32
02.01.2023 22:45:00;02.01.2023 23:00:00;111,92;110,43;114,86
02.01.2023 23:00:00;02.01.2023 23:15:00;155,41;156,75;154,32
02.01.2023 23:15:00;02.01.2023 23:30:00;139,03;139,11;136,75
02.01.2023 23:30:00;02.01.2023 23:45:00;124,85;123,54;127,40
02.01.2023 23:45:00;03.01.2023 00:00:00;101,51;98,77;106,22
03.01.2023 00:00:00;03.01.2023 00:15:00;140,74;142,05;151,12
03.01.2023 00:15:00;03.01.2023 00:30:00;145,01;127,51;129,12
03.01.2023 00:30:00;03.01.2023 00:45:00;115,58;112,89;109,69
03.01.2023 00:45:00;03.01.2023 01:00:00;105,50;99,66;101,7
03.01.2023 01:00:00;03.01.2023 01:15:00;124,45;127,84;136,28
03.01.2023 01:15:00;03.01.2023 01:30:00;13,93;13,93;13,92
03.01.2023 01:30:00;03.01.2023 01:45:00;109,80;109,02;109,76
03.01.2023 01:45:00;03.01.2023 02:00:00;97,24;96,35;97,90
03.01.2023 02:00:00;03.01.2023 02:15:00;19,88;19,88;19,89
03.01.2023 02:15:00;03.01.2023 02:30:00;42,80;42,80;43,71
03.01.2023 02:30:00;03.01.2023 02:45:00;94,22;94,49;92,93
03.01.2023 02:45:00;03.01.2023 03:00:00;88,92;88,92;97,4
03.01.2023 03:00:00;03.01.2023 03:15:00;238,88;238,88;236,54
03.01.2023 03:15:00;03.01.2023 03:30:00;109,45;110,00;111,35
03.01.2023 03:30:00;03.01.2023 03:45:00;88,90;88,90;104,46
03.01.2023 03:45:00;03.01.2023 04:00:00;23,41;23,41;23,73
03.01.2023 04:00:00;03.01.2023 04:15:00;56,31;56,31;59,60
03.01.2023 04:15:00;03.01.2023 04:30:00;116,36;115,21;116,58
03.01.2023 04:30:00;03.01.2023 04:45:00;182,44;182,44;173,45
03.01.2023 04:45:00;03.01.2023 05:00:00;175,99;175,99;137,35
03.01.2023 05:00:00;03.01.2023 05:15:00;27,68;27,68;27,67
03.01.2023 05:15:00;03.01.2023 05:30:00;19,76;19,76;20,0
03.01.2023 05:30:00;03.01.2023 05:45:00;334,45;334,45;303,35
03.01.2023 05:45:00;03.01.2023 06:00:00;517,82;517,82;503,94
03.01.2023 06:00:00;03.01.2023 06:15:00;121,37;121,29;124,37
